"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OUR-Logo";1;"LOGO";;;
2;"Q1";"SOT-23_Handsoldering";1;"IRLML2502";;;
3;"U3,U2";"SOIC-14_3.9x8.7mm_P1.27mm";2;"LM2901D";;;
4;"F1,F1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"0251001";;;
5;"TP4,TP3,TP2,TP1";"TestPoint_Pad_D1.5mm";4;"TestPoint";;;
6;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
7;"J1";"PinHeader_2x04_P2.54mm_Vertical_Shrouded";1;"Conn_02x04_Odd_Even";;;
8;"D1";"SOT-23_Handsoldering";1;"NYC0102BLT1G";;;
9;"D2";"D_SMA_Handsoldering";1;"S1A";;;
10;"U1";"SOT-223";1;"ZLDO1117G50";;;
11;"RV4,RV3,RV2,RV1";"Potentiometer_Vishay_43_Horizontal";4;"M43P103";;;
12;"R17";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470";;;
13;"R16,R10,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
14;"R15,R14,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"47k";;;
15;"R12,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1M";;;
16;"R8,R7,R6,R5,R4,R3,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"DNP";;;
17;"K1";"Relay_DPDT_Schrack-RT2-FormC_RM5mm";1;"RT444012";;;
18;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
19;"C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"DNP";;;
20;"C7,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10uF";;;
21;"C6";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
22;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
